categorie,indicateur,valeur,unite
Activité,Patients pris en charge,1200000,personnes
Activité,Séjours en MCO,175398,jours
Activité,Patients en SSR,97928,jours
Activité,Séjours en SLD,67065,jours
Activité,Séjours en psychiatrie,30690,jours
Activité,Hospitalisation complète,150319,séjours
Activité,Hospitalisation partielle,24880,séjours
Activité,Consultations externes,644602,consultations
Activité,Actes opératoires,47925,actes
Activité,Accouchements,2186,accouchements
Activité,Passages aux urgences,127678,passages
Activité,Urgences spécialisées,46301,passages
Activité,Admissions dans le passé,4301,admissions
Activité,Programmes d'éducation thérapeutique,35,programmes
Capacités,Lits et places,2229,lits
Capacités,Lits d'hospitalisation de jour,362,lits
Capacités,Lits de chirurgie ambulatoire,454,lits
Capacités,Salles de bloc,48,salles
Capacités,Blocs opératoires,12,blocs
Capacités,Pôles,11,pôles
Capacités,Services,73,services
Capacités,Passerelles,2,passerelles
Capacités,HU,2,unités
Capacités,DHU,4,unités
Ressources humaines,Professionnels,11000,personnes
Ressources humaines,Médecins seniors,1626,personnes
Ressources humaines,Seniors hospitaliers,5091,personnes
Ressources humaines,Médico-techniques et socio-techniques,3026,personnes
Ressources humaines,Infirmiers,2455,personnes
Ressources humaines,Personnels administratifs,1294,personnes
Ressources humaines,Étudiants hospitaliers,687,personnes
Recherche,Essais cliniques totaux,269,essais
Recherche,Essais labellisés CRC,8,essais
Recherche,Essais académiques,238,essais
Recherche,Essais industriels,154,essais
Recherche,Publications scientifiques,1982,publications
Recherche,CRC,4,centres
Recherche,Centre intégré de cancérologie,1,centre
Enseignement,Enseignants médicaux,699,personnes
Enseignement,Étudiants formés,4000,étudiants
Finances,Budget,887300000,euros
Finances,Investissements,33100000,euros
