theme,commune,code_commune,indicateur,annee,valeur,unite,source
Population,Paris 13e Arrondissement,75113,Population totale,2022,177735,habitants,Insee RP2022
Population,Paris 13e Arrondissement,75113,Densité de population,2022,24858,hab/km2,Insee RP2022
Population,Paris 13e Arrondissement,75113,Superficie,2022,7.2,km2,Insee RP2022
Population,Paris 13e Arrondissement,75113,Variation annuelle moyenne de population,2016-2022,-0.4,%,Insee RP2016-2022
Population,Paris 13e Arrondissement,75113,Variation due au solde naturel,2016-2022,0.3,%,Insee RP2016-2022
Population,Paris 13e Arrondissement,75113,Variation due au solde migratoire apparent,2016-2022,-0.6,%,Insee RP2016-2022
Population,Paris 13e Arrondissement,75113,Nombre de ménages,2022,92204,menages,Insee RP2022
Population,Paris 13e Arrondissement,75113,Naissances domiciliées,2024,1532,naissances,Insee Etat civil
Population,Paris 13e Arrondissement,75113,Décès domiciliés,2024,1360,deces,Insee Etat civil

Logement,Paris 13e Arrondissement,75113,Nombre total de logements,2022,107073,logements,Insee RP2022
Logement,Paris 13e Arrondissement,75113,Part des résidences principales,2022,86.1,%,Insee RP2022
Logement,Paris 13e Arrondissement,75113,Part des résidences secondaires,2022,5.8,%,Insee RP2022
Logement,Paris 13e Arrondissement,75113,Part des logements vacants,2022,8.1,%,Insee RP2022
Logement,Paris 13e Arrondissement,75113,Part des ménages propriétaires,2022,26.3,%,Insee RP2022

Revenus,Paris 13e Arrondissement,75113,Nombre de ménages fiscaux,2021,81749,menages,Insee Fichier social et fiscal
Revenus,Paris 13e Arrondissement,75113,Part des ménages fiscaux imposés,2021,65,%,Insee Fichier social et fiscal
Revenus,Paris 13e Arrondissement,75113,Revenu médian disponible par UC,2021,25670,euros,Insee Fichier social et fiscal
Revenus,Paris 13e Arrondissement,75113,Taux de pauvreté,2021,18,%,Insee Fichier social et fiscal

Emploi,Paris 13e Arrondissement,75113,Emploi total au lieu de travail,2022,132388,emplois,Insee RP2022
Emploi,Paris 13e Arrondissement,75113,Part de l'emploi salarié,2022,90,%,Insee RP2022
Emploi,Paris 13e Arrondissement,75113,Variation annuelle moyenne de l'emploi,2016-2022,0.9,%,Insee RP2016-2022
Emploi,Paris 13e Arrondissement,75113,Taux d'activité 15-64 ans,2022,76.8,%,Insee RP2022
Emploi,Paris 13e Arrondissement,75113,Taux de chômage 15-64 ans,2022,12,%,Insee RP2022

Etablissements,Paris 13e Arrondissement,75113,Nombre d'établissements,2023,6931,etablissements,Insee Flores
Etablissements,Paris 13e Arrondissement,75113,Part agriculture sylviculture pêche,2023,0,%,Insee Flores
Etablissements,Paris 13e Arrondissement,75113,Part industrie,2023,3,%,Insee Flores
Etablissements,Paris 13e Arrondissement,75113,Part construction,2023,5.5,%,Insee Flores
Etablissements,Paris 13e Arrondissement,75113,Part commerce transports services,2023,80.1,%,Insee Flores
Etablissements,Paris 13e Arrondissement,75113,Part administration enseignement santé social,2023,11.4,%,Insee Flores
Etablissements,Paris 13e Arrondissement,75113,Part établissements 1 à 9 salariés,2023,68.6,%,Insee Flores
Etablissements,Paris 13e Arrondissement,75113,Part établissements 10 salariés ou plus,2023,20.9,%,Insee Flores
