atc1,atc1_label,boites,rem,bse
N,SYSTEME NERVEUX,119606886.0,130266676.11,141865353.33
A,SYSTEME DIGESTIF ET METABOLISME,47290620.0,71083722.57,82742255.65
B,SANG ET ORGANES HEMATOPOIETQUES,24207771.0,28239188.32,29100757.59
J,ANTI-INFECTIEUX (USAGE SYSTEMIQUE),21493979.0,47374646.7,55012136.5
C,SYSTEME CARDIO-VASCULAIRE,18263769.0,77106012.81,83077350.43
R,SYSTEME RESPIRATOIRE,13224424.0,32440775.099999998,40525572.77
S,ORGANES SENSORIELS,12261728.0,13702625.81,18307179.16
L,ANTINEOPLASIQUES ET AGENTS IMMUNOMODULANTS,11792866.0,9774060.52,9727200.290000001
D,DERMATOLOGIE,9885113.0,11872542.35,17905142.48
H,"HORMONES SYSTEMIQUES, A L EXCLUSION DES HORMONES SEXUELLES ET DES INSULINES",9293933.0,14097100.05,15751471.91
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,8120802.0,14783618.870000001,20038018.4
M,SYSTEME MUSCULO-SQUELETTIQUE,7674920.0,11811214.15,14710552.73
V,DIVERS,1598371.0,10714068.69,11812755.96
P,"ANTIPARASITAIRES, INSECTICIDES ET REPULSIFS",947235.0,2324387.5,2927140.01
0,Honoraires de dispensation,0.0,371106.4,339343.41000000003
