atc1,atc1_label,atc2,atc2_label,atc3,atc3_label,atc4,atc4_label,atc5,atc5_label,boites,rem,bse
0,Honoraires de dispensation,000,Honoraires de dispensation,0000,Honoraires de dispensation,00000,Honoraires de dispensation,0000000,Honoraires de dispensation,0.0,371106.4,339343.41000000003
A,SYSTEME DIGESTIF ET METABOLISME,999,INCONNU,9999,Non restitué,99999,Non restitué,9999999,Non restitué,39353.0,296878.73,339481.69
A,SYSTEME DIGESTIF ET METABOLISME,A01,PREPARATIONS STOMATOLOGIQUES,A01A,PREPARATIONS STOMATOLOGIQUES,99999,Non restitué,9999999,Non restitué,4934.0,14650.3,21460.18
A,SYSTEME DIGESTIF ET METABOLISME,A01,PREPARATIONS STOMATOLOGIQUES,A01A,PREPARATIONS STOMATOLOGIQUES,A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,9999999,Non restitué,1685.0,7424.22,9904.56
A,SYSTEME DIGESTIF ET METABOLISME,A01,PREPARATIONS STOMATOLOGIQUES,A01A,PREPARATIONS STOMATOLOGIQUES,A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,A01AA01,SODIUM FLUORURE,111.0,67.02,143.19
A,SYSTEME DIGESTIF ET METABOLISME,A01,PREPARATIONS STOMATOLOGIQUES,A01A,PREPARATIONS STOMATOLOGIQUES,A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,A01AA02,SODIUM MONOFLUOROPHOSPHATE,18274.0,86389.72,90322.36
A,SYSTEME DIGESTIF ET METABOLISME,A01,PREPARATIONS STOMATOLOGIQUES,A01A,PREPARATIONS STOMATOLOGIQUES,A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,A01AA51,SODIUM FLUORURE EN ASSOCIATION,8459.0,7961.2,22712.72
A,SYSTEME DIGESTIF ET METABOLISME,A01,PREPARATIONS STOMATOLOGIQUES,A01A,PREPARATIONS STOMATOLOGIQUES,A01AB,ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL,9999999,Non restitué,4930.0,54879.18,69141.28
A,SYSTEME DIGESTIF ET METABOLISME,A01,PREPARATIONS STOMATOLOGIQUES,A01A,PREPARATIONS STOMATOLOGIQUES,A01AB,ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL,A01AB03,CHLORHEXIDINE,565657.0,298730.18,856692.81
A,SYSTEME DIGESTIF ET METABOLISME,A01,PREPARATIONS STOMATOLOGIQUES,A01A,PREPARATIONS STOMATOLOGIQUES,A01AB,ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL,A01AB09,MICONAZOLE,4476.0,84332.03,71153.45
A,SYSTEME DIGESTIF ET METABOLISME,A01,PREPARATIONS STOMATOLOGIQUES,A01A,PREPARATIONS STOMATOLOGIQUES,A01AB,ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL,A01AB11,DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES),628050.0,273232.36,708764.52
A,SYSTEME DIGESTIF ET METABOLISME,A01,PREPARATIONS STOMATOLOGIQUES,A01A,PREPARATIONS STOMATOLOGIQUES,A01AD,AUTRES MEDICAMENTS POUR TRAITEMENT ORAL LOCAL,A01AD11,DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES),43026.0,112961.2,137989.31
A,SYSTEME DIGESTIF ET METABOLISME,A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,9999,Non restitué,99999,Non restitué,9999999,Non restitué,3832.0,14922.61,22639.55
A,SYSTEME DIGESTIF ET METABOLISME,A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,A02A,ANTIACIDES,99999,Non restitué,9999999,Non restitué,9092.0,48811.19,66667.44
A,SYSTEME DIGESTIF ET METABOLISME,A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,A02A,ANTIACIDES,A02AB,ANTIACIDES A BASE D'ALUMINIUM,9999999,Non restitué,1188.0,1909.94,3902.05
A,SYSTEME DIGESTIF ET METABOLISME,A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,A02A,ANTIACIDES,A02AB,ANTIACIDES A BASE D'ALUMINIUM,A02AB01,ALUMINIUM HYDROXYDE,1675.0,2552.8,5645.84
A,SYSTEME DIGESTIF ET METABOLISME,A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,A02A,ANTIACIDES,A02AB,ANTIACIDES A BASE D'ALUMINIUM,A02AB03,ALUMINIUM PHOSPHATE,1455.0,1759.83,4519.0
A,SYSTEME DIGESTIF ET METABOLISME,A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,A02A,ANTIACIDES,A02AD,"ASSOCIATIONS ET COMPLEXES A BASE D'ALUMINIUM, DE CALCIUM ET DE MAGNESIUM",A02AD01,ASSOCIATIONS DE SELS,32320.0,33078.83,88972.11
A,SYSTEME DIGESTIF ET METABOLISME,A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,A02A,ANTIACIDES,A02AH,ANTIACIDES AVEC BICARBONATE DE SODIUM,A02AH,ANTIACIDES + BICARBONATE DE SODIUM,75694.0,110662.07,110691.75
A,SYSTEME DIGESTIF ET METABOLISME,A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,A02A,ANTIACIDES,A02AX,ANTIACIDES : AUTRES ASSOCIATIONS,A02AX,ANTIACIDES : AUTRES ASSOCIATIONS,33202.0,56107.16,142473.11
A,SYSTEME DIGESTIF ET METABOLISME,A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,A02B,MEDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO),99999,Non restitué,9999999,Non restitué,8316.0,51077.020000000004,85030.73
A,SYSTEME DIGESTIF ET METABOLISME,A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,A02B,MEDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO),A02BA,ANTAGONISTES DES RECEPTEURS H2,9999999,Non restitué,2679.0,10843.12,20211.31
